nst,magError,magNst,longitude,gap,time,type,updated,id,place,latitude,mag,magSource,net,magType,horizontalError,status,depthError,locationSource,dmin,rms,depth
,,,-153.3417,,2016-02-16T11:02:06.000Z,earthquake,2016-02-16T21:23:45.985Z,ak12836333,"85km W of Anchor Point, Alaska",59.6693,3.4,ak,ak,ml,0.4,reviewed,0.4,ak,,0.58,109.4
,0.03,389,-73.6362,132,2016-02-16T10:46:27.440Z,earthquake,2016-02-17T15:42:38.000Z,us200050iw,"99km W of Camana, Peru",-16.4854,5.4,us,us,mb,7.5,reviewed,4.2,us,3.661,1.14,10.37
115,,6,-116.8633333,37,2016-02-16T09:24:20.700Z,earthquake,2016-02-18T02:45:44.469Z,ci37524376,"5km NNW of Big Bear City, California",34.3026667,3.85,ci,ci,mw,0.1,reviewed,0.35,ci,0.05411,0.16,3.14
25,0.117,17,-154.9571667,194,2016-02-16T07:40:45.380Z,earthquake,2016-02-16T19:06:14.261Z,hv61179026,"8km SSW of Leilani Estates, Hawaii",19.4048333,2.53,hv,hv,ml,0.62,reviewed,0.67,hv,0.05309,0.11,1.638
,0.091,36,125.3654,87,2016-02-16T05:14:55.690Z,earthquake,2016-02-16T13:18:06.190Z,us200050ht,"93km NNE of Bitung, Indonesia",2.274,4.6,us,us,mb,9,reviewed,8,us,2.495,1.11,133.95
16,0.17,58,-114.8666667,159,2016-02-16T04:46:46.700Z,earthquake,2016-02-17T18:42:45.230Z,ci37524280,"40km SSE of Estacion Coahuila, B.C., MX",31.8551667,3.43,ci,ci,ml,1.41,reviewed,31.61,ci,0.4805,0.45,5.94
,0.076,45,-97.1805,35,2016-02-16T04:20:07.360Z,earthquake,2016-02-16T15:38:41.556Z,us200050hh,"8km N of Luther, Oklahoma",35.7365,2.8,us,us,mb_lg,2.1,reviewed,1.9,us,0.081,0.48,5
,0.061,84,121.0442,96,2016-02-16T04:04:56.830Z,earthquake,2016-02-16T12:07:27.693Z,us200050he,"30km NNW of Taitung City, Taiwan",23.0176,4.8,us,us,mb,6.6,reviewed,1.9,us,0.201,1.1,10
,0.19,8,-86.3882,145,2016-02-16T02:50:03.480Z,earthquake,2016-02-16T10:52:39.970Z,us200050h5,"3km NNW of El Rosario, Nicaragua",11.8073,4.4,us,us,mb,6.6,reviewed,9.5,us,0.421,0.8,97.11
,0.107,26,121.0726,97,2016-02-16T02:46:01.220Z,earthquake,2016-02-16T03:05:28.807Z,us200050h7,"25km NNW of Taitung City, Taiwan",22.9822,4.6,us,us,mb,7,reviewed,1.9,us,0.163,1.23,10
8,0,8,-66.953,219.6,2016-02-16T02:08:23.600Z,earthquake,2016-02-16T10:11:02.244Z,pr16047000,"6km SW of Guanica, Puerto Rico",17.9311,2.5,pr,pr,Md,1.7,reviewed,1.8,pr,0.08174669,0.3,13
,0.141,15,173.6114,169,2016-02-16T00:44:55.410Z,earthquake,2016-02-16T08:47:38.649Z,us200050gu,"269km NW of Anadyr', Russia",66.5653,4.6,us,us,mb,13.5,reviewed,7.3,us,3.156,1.16,14.99
,,,-151.0093,,2016-02-16T00:29:46.000Z,earthquake,2016-02-16T20:53:20.681Z,ak12829591,"114km NE of Kodiak, Alaska",58.5077,2.6,ak,ak,ml,0.6,reviewed,3.5,ak,,0.74,32.7
,0.173,9,71.8152,108,2016-02-15T23:58:19.410Z,earthquake,2016-02-16T08:00:59.642Z,us200050gq,"16km NNE of Yangiqo`rg`on, Uzbekistan",41.3263,4,us,us,mb,5.6,reviewed,1.9,us,1.897,1.23,10
,,,-172.5854,,2016-02-15T22:09:27.000Z,earthquake,2016-02-16T19:15:11.081Z,ak12828293,"123km ESE of Atka, Alaska",51.7022,2.6,ak,ak,ml,7.6,reviewed,8,ak,,0.8,25
,0.067,69,-85.3338,85,2016-02-15T21:53:30.970Z,earthquake,2016-02-16T05:55:58.509Z,us200050fd,Off the coast of Ecuador,1.1874,4.8,us,us,mb,8.6,reviewed,1.9,us,5.286,0.93,10
,0.064,64,-97.3788,78,2016-02-15T21:44:32.200Z,earthquake,2016-02-16T21:33:55.192Z,us200050fc,"8km WSW of Perry, Oklahoma",36.2589,3.1,us,us,mb_lg,1.2,reviewed,7.6,us,0.415,0.43,3.75
,0.08,47,159.2543,82,2016-02-15T21:26:00.770Z,earthquake,2016-02-16T05:29:00.295Z,us200050fa,"38km SE of Dadali, Solomon Islands",-8.3163,4.7,us,us,mb,12.1,reviewed,8.8,us,1.308,0.78,64.58
,0.046,54,164.456,89,2016-02-15T19:28:04.980Z,earthquake,2016-02-16T21:28:12.000Z,us200050ei,"219km NW of Auckland Island, New Zealand",-49.0667,6.2,us,us,mwp,8.8,reviewed,1.9,us,3.268,0.94,10
,0.072,50,-98.7558,123,2016-02-15T19:27:31.710Z,earthquake,2016-02-16T04:52:07.604Z,us200050ee,"33km NW of Fairview, Oklahoma",36.4686,2.8,us,us,mb_lg,1.6,reviewed,3.3,us,0.217,0.35,15.05
,0.05,134,21.6756,37,2016-02-15T18:55:01.770Z,earthquake,2016-02-17T16:46:12.000Z,us200050cf,"7km SSE of Krestena, Greece",37.5545,5.3,us,us,mb,5.1,reviewed,4.2,us,0.424,1.32,15.53
49,0.2,32,-118.8563333,44,2016-02-15T18:47:52.200Z,earthquake,2016-02-16T23:46:11.446Z,nc72591775,"13km SE of Mammoth Lakes, California",37.5758333,3.44,nc,nc,ml,0.17,reviewed,0.36,nc,0.02586,0.06,5.48
41,0.216,58,-118.8573333,54,2016-02-15T15:42:52.610Z,earthquake,2016-02-17T01:22:38.874Z,nc72591580,"13km SE of Mammoth Lakes, California",37.5713333,3.74,nc,nc,ml,0.18,reviewed,0.36,nc,0.02917,0.06,5
,0.036,73,-175.4802,47,2016-02-15T15:02:32.940Z,earthquake,2016-02-16T21:14:14.000Z,us200050a6,"33km WNW of Nuku`alofa, Tonga",-20.9773,5.9,us,us,mwb,3.3,reviewed,1.8,us,5.552,0.65,10
,0.228,5,-97.4564,92,2016-02-15T14:49:14.370Z,earthquake,2016-02-15T19:51:08.407Z,us200050a1,"21km SW of Perry, Oklahoma",36.1496,2.5,us,us,mb_lg,1.4,reviewed,7.1,us,0.352,0.5,5.9
,,,-166.8032,,2016-02-15T14:43:57.000Z,earthquake,2016-02-15T22:46:28.036Z,ak12823427,"77km SSW of Unalaska, Alaska",53.1976,3.6,ak,ak,ml,0.8,reviewed,3.8,ak,,0.41,25.7
,,,-143.3726,,2016-02-15T13:30:01.000Z,earthquake,2016-02-15T21:32:35.650Z,ak12822844,Gulf of Alaska,57.111,3.5,ak,ak,ml,4.2,reviewed,5.5,ak,,0.68,12
,0.149,13,-70.3806,51,2016-02-15T13:14:24.740Z,earthquake,2016-02-15T21:17:04.251Z,us2000509i,"9km SE of Trujillo, Venezuela",9.2988,4.4,us,us,mb,3.2,reviewed,1.9,us,0.482,1.01,5
,0.081,40,-97.707,66,2016-02-15T13:10:33.430Z,earthquake,2016-02-15T17:05:27.303Z,us2000509f,"17km E of Waukomis, Oklahoma",36.2752,2.6,us,us,mb_lg,1.3,reviewed,7.6,us,0.319,0.35,5.06
117,,,-150.0164,61.1999951040004,2016-02-15T10:41:47.000Z,earthquake,2016-02-17T20:02:40.760Z,ak12821200,"36km SSW of Anchorage, Alaska",60.8933,4.2,ak,ak,ml,0.2,reviewed,0.2,ak,0.2362569,0.82,44.9
,,,-97.0548,52,2016-02-15T09:30:53.000Z,earthquake,2016-02-17T07:59:08.012Z,us2000508j,"4km S of Stillwater, Oklahoma",36.0734,2.6,tul,us,ml,1.3,reviewed,4.8,tul,,0.81,5.105
6,0,5,-68.8981,248.4,2016-02-15T08:03:33.700Z,earthquake,2016-02-15T16:06:10.694Z,pr16046001,"60km S of La Romana, Dominican Republic",17.8845,2.8,pr,pr,Md,4.7,reviewed,5.9,pr,0.79500903,0.41,88
,0.209,6,-77.541,193,2016-02-15T07:46:16.410Z,earthquake,2016-02-17T04:26:16.158Z,us200050sl,"43km WSW of Callao, Peru",-12.1647,3.9,us,us,mb,9.8,reviewed,14.2,us,0.705,0.77,43.11
,0.075,17,121.0261,113,2016-02-15T05:22:38.540Z,earthquake,2016-02-15T13:25:13.648Z,us20005083,"31km NNW of Taitung City, Taiwan",23.0244,4.2,us,us,mwr,7.8,reviewed,5.2,us,0.211,0.59,10.72
,0.365,2,-66.8205,111,2016-02-15T03:55:53.920Z,earthquake,2016-02-17T05:11:41.675Z,us200050su,"81km NW of San Antonio de los Cobres, Argentina",-23.6406,4,us,us,mb,11.9,reviewed,10.7,us,2.179,0.7,204.4
,0.086,35,-98.7285,85,2016-02-15T03:45:00.380Z,earthquake,2016-02-15T16:47:38.714Z,us2000507x,"28km NW of Fairview, Oklahoma",36.4338,2.8,us,us,mb_lg,1.6,reviewed,7.4,us,0.226,0.66,5.32
